*************** TFIDF of abstracts ***************
Word                 Tool                 Nontool              Overall             
group                2.6922832031510278   0.5479803542190207   3.2663662950007586  
valid                2.6961952981455974   1.4876938236493107   4.086218349444665   
rate                 2.724501251661935    1.8481126454979688   4.426797922224271   
interfac             2.743054351656323    1.0742028926166105   3.775047413262596   
quantit              2.743643421523847    2.0674894686674854   4.696444803148451   
organ                2.7557083289261834   2.1326729696535134   4.7085886035968745  
qualiti              2.768255139550111    1.5525062329577006   4.271015723265667   
variabl              2.773805357886981    1.101566438930879    3.790227841572024   
flexibl              2.774133294515266    0.4046432253108132   3.2656431340174294  
mass                 2.788801969030625    0.5899811030799731   3.3386535796341428  
signal               2.808415336100114    1.919031084412703    4.562143332368493   
phenotyp             2.8091828787393784   2.450700522443328    5.124571997373826   
search               2.8243566089600516   0.39927507083297104  3.2545155275335165  
enabl                2.8610708926676294   2.443609076708899    5.109870240898842   
optim                2.884392160170661    1.209093383641811    3.982433330843617   
platform             2.886811092220924    0.8891122677648592   3.725991648814927   
chang                2.9042538426320177   1.525138640568171    4.338836323120456   
correl               2.912332326141963    1.8199608478302263   4.580326284535574   
techniqu             2.913550044192534    1.428501842175614    4.263714181826494   
support              2.92340641581108     1.060417448606213    3.917507843872917   
evalu                2.9297517579721646   1.4972557950100875   4.370768736657306   
onli                 2.9403240546654583   2.1091481486021983   4.924343654283898   
highthroughput       2.949592553803764    1.0919143379390333   4.017541779090784   
level                2.951264033974032    1.7551039493522245   4.571040064113621   
understand           2.965246026590796    1.9269759257451349   4.7667324886959355  
variat               2.9658941271822834   1.3949971695896293   4.294543750347773   
file                 2.975389158386053    0.07870794346635254  3.230915499925626   
increas              2.9863032845208064   2.0929448828989057   4.880057448853704   
addit                2.9954053593940735   1.2972203305949839   4.264611658202265   
problem              3.0001320314366855   1.848117205527322    4.720777561891374   
workflow             3.0199047523925757   0.14225129151259158  3.2691292627614112  
individu             3.022646846627108    1.609818694517641    4.4995443206759935  
wide                 3.026113813998339    1.1267085371004455   4.14963251043527    
sensit               3.0520282671211647   1.3138072765912185   4.278584525384      
recent               3.0541361595720606   2.024923770335569    4.944284220822076   
relat                3.0566727111167795   1.0880184940861863   4.120907043487231   
experiment           3.1067317478707093   1.704566274607759    4.7472208405414085  
identif              3.112787553529161    1.3650844596350815   4.42196466480058    
speci                3.1179730966888073   0.6987547124277983   3.80670800961276    
dynam                3.1214484949827717   3.1610921250415127   6.082827973695129   
technolog            3.1235649818244484   1.681529817569187    4.689372359423258   
paramet              3.128110607790497    0.9174919837684568   4.047925427100505   
describ              3.159301953221832    2.4562650308944227   5.436334270581758   
program              3.1617420277560337   0.8996256118258645   4.091129846124001   
power                3.1624405975669374   1.372397858148201    4.487959510447088   
genotyp              3.174256521283248    1.7225838668236706   4.797092248337693   
need                 3.216196299650839    0.9043306287282441   4.188919983878886   
pipelin              3.2167580927795343   0.20553567187947686  3.6214377605317596  
combin               3.2287080682926597   2.045901075347639    5.1317096548454     
experi               3.256395188155038    1.7815531119817298   4.9692683347055215  
framework            3.2583697544583874   0.6291555981760518   3.975982822008641   
singlecel            3.267460615440436    0.08711584014642852  3.4539130193926866  
sever                3.2885531688731247   1.5752226210399367   4.774947320117133   
enrich               3.3408924125358577   1.086109918857291    4.3592095672544175  
methyl               3.3673850048743827   0.9694368758895742   4.246633063977644   
accuraci             3.3853774815667768   1.6812906976909854   5.019265086087304   
bind                 3.3889203193704374   1.3736459407363972   4.604179942228955   
challeng             3.3927694479787163   2.631444246173471    5.887175677126315   
error                3.4204427029240416   1.1482569476175848   4.509894260537513   
introduc             3.437904417239023    0.9126759422585277   4.45805979865572    
high                 3.4443730501768735   2.2248223914931486   5.503464750829291   
import               3.456022214444463    1.990020988956363    5.3730410147227445  
differenti           3.4872306681103273   2.250545040803579    5.523088448015451   
web                  3.4941468373277624   0.13052170956805245  3.931590072282409   
pattern              3.515284820663892    1.1408317433608388   4.654295112550249   
accur                3.5203114116758734   1.7015565216613298   5.155134965197352   
similar              3.5298210052024674   1.5308315037972184   4.9904929163123075  
molecular            3.5419209334015154   2.309223967797944    5.688407960676529   
requir               3.562173186261696    1.6645035939409933   5.192913406470463   
transcript           3.57947957688448     1.9395998840854858   5.352550878392501   
wa                   3.5945019307027235   2.694470619267781    6.130376807561587   
type                 3.6022657437361914   2.216250178229644    5.691476808673261   
mutat                3.6151891448046336   1.5592906674105715   5.0574525809467685  
current              3.6529849726991817   1.2891269417565454   4.975499870266918   
pathway              3.682754432223132    2.416089466748761    5.871965498360205   
metagenom            3.7235428146444085   0.1491180941659733   3.9816874020947224  
distribut            3.724565265286294    1.0013122642190315   4.794397700923933   
popul                3.7280849715661164   1.3303664733567464   4.96291888437266    
imag                 3.7374164916447614   4.7418182234386075   8.213953178729884   
snp                  3.74123952594292     1.3900782476615259   5.113157256333022   
analys               3.751112380118424    0.7689934762655847   4.660292264687293   
assembl              3.7680762426170444   1.0987706552857934   4.822050274253103   
infer                3.8017566563753826   1.4327500685342185   5.209102490038858   
propos               3.8090413437538984   2.9680550073651903   6.662608102721356   
measur               3.8271060109712134   2.5482201444632837   6.217310470232955   
appli                3.845218284630664    2.437461913223664    6.151709587575996   
annot                3.8518948169463885   1.1869111872677254   5.061956589510918   
effici               3.876276574900286    2.171054118255949    5.895994724702239   
analyz               3.8996534476847335   1.2167730689437777   5.181352691433791   
region               3.9010321198198565   1.426080643887744    5.301393560680062   
pmcid                3.9308264574413543   9.21951560510919     12.824861579214007  
singl                3.9380767751698027   2.861153427952209    6.629554482053278   
novel                3.963697788066843    1.3787902995683046   5.42314015545006    
mani                 3.985695118825058    2.0094081911875414   5.929536631208068   
research             4.0121091461017135   1.6519573086395334   5.601032824874367   
target               4.043193411640063    3.293595087910194    7.091488321063848   
rnaseq               4.067025871795304    1.4795434197233457   5.4914673258304445  
demonstr             4.078626412427031    2.6921058388247516   6.60630093427192    
cluster              4.0985440795049985   1.4466916284222302   5.47357702506309    
improv               4.116296739440973    2.926488669832137    6.906804049199709   
conclus              4.1264926814601655   2.2957502129781964   6.462625485117368   
cancer               4.151609649154606    1.5219157999445783   5.585783368263525   
code                 4.152679898121466    0.3396898428908909   4.961685462522042   
includ               4.249004247584698    1.8138839115471344   6.080920575411041   
time                 4.267476345796091    2.208663449132057    6.404705734286991   
profil               4.277070565728874    1.2973985156386436   5.598799784739891   
howev                4.288406264681424    2.4201298257525323   6.685407094490872   
background           4.35834241624814     2.5195883457553183   6.907636010394085   
dna                  4.385795086036798    2.1723494960653094   6.4484795157809085  
refer                4.394069681566345    0.7460989595762794   5.378738775865731   
exist                4.458667376196827    0.9627159682638283   5.696057073287098   
r                    4.483011005579796    0.533153287489766    5.334502861675108   
larg                 4.500515996922492    2.2109642510400866   6.664226030844062   
user                 4.515653929974234    0.4245161113480092   5.401182306239731   
